Date,BIL,SHY,IGSB,IGIB,LQD,SHYG,HYG,EMB,CEMB,SPY,QQQ,IJK,IWM,VGK,EWU,EWJ,EEM,AAXJ,MCHI,INDA,GLD,FTLS,QAI,WTMF
2015-10-21 00:00:00-04:00,75.47816467285156,71.01507568359375,40.672874450683594,39.443199157714844,83.21388244628906,26.424724578857422,50.40895462036133,67.31904602050781,31.09176254272461,170.56602478027344,99.82791900634766,36.88190460205078,99.79666137695312,37.43250274658203,23.564571380615234,41.223419189453125,28.282344818115234,47.133480072021484,39.79215621948242,25.855104446411133,111.7300033569336,29.34068489074707,25.118349075317383,29.722862243652344
2015-10-22 00:00:00-04:00,75.47816467285156,71.0401382446289,40.68831253051758,39.46846389770508,83.39118957519531,26.430383682250977,50.42662811279297,67.60430145263672,30.962770462036133,173.447509765625,101.86125183105469,37.117916107177734,100.67423248291016,37.794315338134766,23.79439926147461,41.72860336303711,28.86638641357422,48.09117889404297,40.722774505615234,26.412368774414062,111.69000244140625,29.625009536743164,25.178789138793945,29.657854080200195
2015-10-23 00:00:00-04:00,75.47816467285156,70.98167419433594,40.65357971191406,39.41066360473633,83.08628845214844,26.49267578125,50.603485107421875,67.74065399169922,31.02082061767578,175.34877014160156,104.71159362792969,37.23137283325195,101.6658706665039,38.11993408203125,23.92959976196289,42.13275909423828,29.034412384033203,48.52049255371094,41.453975677490234,26.4300594329834,111.5,29.936851501464844,25.144250869750977,29.708412170410156
2015-10-26 00:00:00-04:00,75.46163940429688,70.98167419433594,40.67673110961914,39.43235397338867,83.23519134521484,26.464359283447266,50.5504150390625,67.77786254882812,31.033721923828125,174.9178466796875,104.7765884399414,37.242713928222656,100.97258758544922,37.953495025634766,23.821439743041992,42.09907531738281,28.770381927490234,47.99211883544922,40.631370544433594,26.111621856689453,111.43000030517578,29.91759490966797,25.144250869750977,29.83120346069336
2015-10-27 00:00:00-04:00,75.46163940429688,71.00672912597656,40.672874450683594,39.43958282470703,83.25646209716797,26.419069290161133,50.3853645324707,67.59187316894531,30.982118606567383,174.579833984375,104.99014282226562,37.02487564086914,99.86685180664062,37.58444595336914,23.57808494567871,41.762290954589844,28.442358016967773,47.56279754638672,40.323936462402344,25.80203628540039,111.68000030517578,29.863479614257812,25.17015838623047,29.860097885131836
2015-10-28 00:00:00-04:00,75.46163940429688,70.9148178100586,40.645851135253906,39.33839797973633,82.93023681640625,26.475692749023438,50.52098083496094,67.31288146972656,31.17560386657715,176.5655975341797,105.8629150390625,37.66932678222656,102.78040313720703,37.859432220458984,23.821439743041992,42.16642761230469,28.114328384399414,47.116981506347656,39.850318908691406,25.61627960205078,110.77999877929688,30.046918869018555,25.187427520751953,29.83120346069336
2015-10-29 00:00:00-04:00,75.46163940429688,70.86468505859375,40.59181213378906,39.20833969116211,82.34873962402344,26.419069290161133,50.39126968383789,67.41209411621094,30.891845703125,176.4642333984375,105.6957778930664,37.50594711303711,101.68341064453125,37.69300079345703,23.672725677490234,41.69492721557617,27.850309371948242,46.72068786621094,39.42656326293945,25.324384689331055,109.72000122070312,30.010223388671875,25.040637969970703,29.903440475463867
2015-10-30 00:00:00-04:00,75.46163940429688,70.86468505859375,40.626564025878906,39.30950164794922,82.56148529052734,26.419069290161133,50.4502067565918,67.27566528320312,30.891845703125,175.7036895751953,105.22224426269531,37.4764404296875,101.21829986572266,37.68577575683594,23.618642807006836,41.49285125732422,27.898305892944336,46.63812255859375,39.30192184448242,25.19170379638672,109.30000305175781,29.973539352416992,25.08380699157715,29.852876663208008
2015-11-02 00:00:00-05:00,75.46163940429688,70.82373809814453,40.62578201293945,39.28125762939453,82.20658111572266,26.46341323852539,50.60657501220703,67.3254623413086,30.92160987854004,177.78244018554688,106.41069030761719,38.000633239746094,103.32447052001953,38.127166748046875,23.848480224609375,41.795963287353516,28.450359344482422,47.25732421875,39.68413543701172,25.359766006469727,108.58999633789062,30.221179962158203,25.07517433166504,29.881763458251953
2015-11-03 00:00:00-05:00,75.47816467285156,70.81537628173828,40.58328628540039,39.2088623046875,82.21368408203125,26.514612197875977,50.65987777709961,67.6989974975586,31.18705940246582,178.29791259765625,106.78208923339844,37.90985870361328,103.85977172851562,38.004154205322266,23.848480224609375,41.762290954589844,28.826391220092773,47.71141052246094,39.74230194091797,25.44822120666504,106.9800033569336,30.340417861938477,25.126983642578125,29.82398223876953
2015-11-04 00:00:00-05:00,75.46163940429688,70.74016571044922,40.55624008178711,39.17265701293945,82.12126922607422,26.4975643157959,50.511837005615234,67.68656921386719,31.167633056640625,177.75709533691406,106.7913589477539,37.84405517578125,103.80714416503906,37.74365997314453,23.861997604370117,41.560211181640625,28.594375610351562,47.76094436645508,40.174381256103516,25.112092971801758,105.97000122070312,30.36792755126953,25.066539764404297,29.860097885131836
2015-11-05 00:00:00-05:00,75.46163940429688,70.74016571044922,40.591007232666016,39.169036865234375,82.1426010131836,26.46341323852539,50.31636047363281,67.7674560546875,31.232383728027344,177.5796356201172,106.5035171508789,37.916664123535156,103.88611602783203,37.63511657714844,23.469932556152344,41.863319396972656,28.642362594604492,47.703155517578125,40.365482330322266,24.846729278564453,105.63999938964844,30.41378402709961,25.049272537231445,29.932327270507812
